3-ETHYLMALATE-SYNTHASE-RXN,0
ASPARTATE--TRNA-LIGASE-RXN,0
RXN-4443,0
4.4.1.14-RXN,0
HOMOGENTISATE-12-DIOXYGENASE-RXN,0
DIHYDROFOLATEREDUCT-RXN,1
ASPCARBTRANS-RXN,1
XYLULOKIN-RXN,0
R223-RXN,0
HISTPRATPHYD-RXN,1
RXN-7162,0
DGDPKIN-RXN,1
RXN-13536,0
RXN-17869,0
RXN-15403,0
RXN-19229,0
DEOXYADENYLATE-KINASE-RXN,0
GSAAMINOTRANS-RXN,1.000000e+00
RXNQT-4170,0
RXN-20644,0
2.7.4.24-RXN,0
RXN-17877,0
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN,1
RXN0-3241,0
RXN-8025,0
RXN-17853,0
RXN0-884,1
2.7.1.140-RXN,0
RXN-18699,0
RXN-15352,0
RXN-7979,1.000000e+00
325-BISPHOSPHATE-NUCLEOTIDASE-RXN,0
RXN-11959,0
RXN-20594,0
RXN-2542,0
METHIONINE--TRNA-LIGASE-RXN,0
RXN0-2023,0
1.8.4.9-RXN,1
RXN-11928,0
PROTEIN-LYSINE-6-OXIDASE-RXN,0
3.5.1.52-RXN,0
RXN-7913,1
RXN-19572,0
RXN-13907,0
GLUTSEMIALDEHYDROG-RXN,1
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN,0
RXN-12395,0
RXN-8889,0
RXN-1727,0
RXN-11889,0
RXN-12374,0
RXN-9969,0
AIRS-RXN,1
RXN-10972,0
RXN-11832,1
PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN,0
RXN-13308,0
RXN0-6981,0
GLUCOSAMINEPNACETYLTRANS-RXN,0
RXN-12299,0
ADDALT-RXN,0
RXN-13300,0
PHOSGLYPHOS-RXN,1
RXN-15135,0
RXN490-3616,0
RXN-20398,0
SUPEROX-DISMUT-RXN,0
RXN-12246,0
6.1.1.23-RXN,0
RXN-8304,0
RXN-15561,0
RXN-13724,0
RXN-11277,0
RXN3O-663,0
RXN-8313,0
RXN-15581,0
R83-RXN,0
RXN-10778,0
RXN-10823,0
RXN-18917,0
INOSINE-NUCLEOSIDASE-RXN,0
RXN-16049,0
5-OXOPROLINASE-ATP-HYDROLYSING-RXN,0
RXN-7607,0
RXN-18926,0
SHIKIMATE-KINASE-RXN,1
RXN-15011,0
RXN-10740,0
RXN-11638,0
RXN-8675,0
RXN-4314,0
RXN-15514,0
RXN1F-20,1.000000e+00
DUDPKIN-RXN,0
3-DEHYDROQUINATE-DEHYDRATASE-RXN,1
RXN-10699,0
HOMOCYSMETB12-RXN,1
2.7.9.3-RXN,0
RXN-8665,0
RXN-12544,0
RXN-18383,0
RXN0-5114,0
HOMOSERKIN-RXN,1
2.7.7.60-RXN,1
RXNQT-4175,0
DIAMINOPIMDECARB-RXN,1
H2PTEROATESYNTH-RXN,0
